date,pitcher,line,over_price,under_price,game,game_pk,role,expected_innings,bullpen_game,pitching_plan_reported,books,k_rate_season,recent_form_starts,recent_form_bf,bf_per_ip,recent_form_k_rate,recent_form_weight,opp_k_source,opp_lineup_k,opp_lineup_k_weighted,opp_lineup_k_resolved,opp_team_season_k,league_lineup_k,whiff_leverage,actual_k,ou_result,lean,lean_result,projection_raw,calibration_band,k_rate_used,opp_k_adjustment,calibration_bias,error_raw,abs_error_raw,error_corrected,abs_error_corrected,projection
8/2/2026,Anthony Kay,3.5,-118,147,,,,,,,,,,,,,,,,,,,,,3,U,0.04,,3.46,<6,,,,-0.46,0.46,-0.46,0.46,3.46
8/2/2026,Cade Cavalli,5.5,-105,-125,,,,,,,,,,,,,,,,,,,,,5,U,0.19,,5.69,<6,,,,-0.69,0.69,-0.69,0.69,5.69
8/2/2026,Chase Burns,5.5,-130,105,,,,,,,,,,,,,,,,,,,,,9,O,1.67,W,7.17,>=7,,,,1.83,1.83,1.83,1.83,7.17
8/2/2026,Colin Rea,4.5,-143,124,,,,,,,,,,,,,,,,,,,,,4,U,1.25,L,5.75,<6,,,,-1.75,1.75,-1.75,1.75,5.75
8/2/2026,Emmet Sheehan,5.5,-130,115,,,,,,,,,,,,,,,,,,,,,4,U,0.07,,5.43,<6,,,,-1.43,1.43,-1.43,1.43,5.43
8/2/2026,Gage Jump,5.5,-108,-115,,,,,,,,,,,,,,,,,,,,,5,U,0.37,,5.87,<6,,,,-0.87,0.87,-0.87,0.87,5.87
8/2/2026,Gavin Williams,6.5,,,,,,,,,,,,,,,,,,,,,,,10,O,0.64,,5.86,<6,,,,4.14,4.14,4.14,4.14,5.86
8/2/2026,George Kirby,5.5,104,-113,,,,,,,,,,,,,,,,,,,,,4,U,1.27,W,4.23,<6,,,,-0.23,0.23,-0.23,0.23,4.23
8/2/2026,Gerrit Cole,6.5,105,-121,,,,,,,,,,,,,,,,,,,,,5,U,0.14,,6.64,6-7,,,,-1.64,1.64,-1.64,1.64,6.64
8/2/2026,Griffin Jax,6.5,120,-155,,,,,,,,,,,,,,,,,,,,,8,O,0.82,,7.32,>=7,,,,0.68,0.68,0.68,0.68,7.32
